date	public_health_unit	new_cases	total_phu_new
2020-03-24	Algoma	0	0
2020-03-24	Brant County	0	0
2020-03-24	Chatham-Kent	0	0
2020-03-24	Durham Region	0	0
2020-03-24	Eastern Ontario	0	0
2020-03-24	Grey Bruce	0	0
2020-03-24	Haldimand-Norfolk	0	0
2020-03-24	Haliburton, Kawartha, Pine Ridge District	0	0
2020-03-24	Halton Region	0	0
2020-03-24	Hamilton	0	0
2020-03-24	Hastings and Prince Edward Counties	0	0
2020-03-24	Huron Perth District	0	0
2020-03-24	Kingston, Frontenac and Lennox & Addington	0	0
2020-03-24	Lambton	0	0
2020-03-24	Leeds, Grenville and Lanark District	0	0
2020-03-24	Middlesex-London	0	0
2020-03-24	Niagara Region	0	0
2020-03-24	North Bay Parry Sound District	0	0
2020-03-24	Northwestern	0	0
2020-03-24	Ottawa	0	0
2020-03-24	Peel	0	0
2020-03-24	Peterborough	0	0
2020-03-24	Porcupine	0	0
2020-03-24	Region of Waterloo	0	0
2020-03-24	Renfrew County and District	0	0
2020-03-24	Simcoe Muskoka District	0	0
2020-03-24	Southwestern	0	0
2020-03-24	Sudbury & District	0	0
2020-03-24	Thunder Bay District	0	0
2020-03-24	Timiskaming	0	0
2020-03-24	Toronto	0	0
2020-03-24	Wellington-Dufferin-Guelph	0	0
2020-03-24	Windsor-Essex County	0	0
2020-03-24	York Region	0	0
2020-03-25	Algoma	0	46
2020-03-25	Brant County	1	46
2020-03-25	Chatham-Kent	0	46
2020-03-25	Durham Region	3	46
2020-03-25	Eastern Ontario	0	46
2020-03-25	Grey Bruce	1	46
2020-03-25	Haldimand-Norfolk	0	46
2020-03-25	Haliburton, Kawartha, Pine Ridge District	0	46
2020-03-25	Halton Region	1	46
2020-03-25	Hamilton	3	46
2020-03-25	Hastings and Prince Edward Counties	0	46
2020-03-25	Huron Perth District	0	46
2020-03-25	Kingston, Frontenac and Lennox & Addington	3	46
2020-03-25	Lambton	0	46
2020-03-25	Leeds, Grenville and Lanark District	0	46
2020-03-25	Middlesex-London	0	46
2020-03-25	Niagara Region	1	46
2020-03-25	North Bay Parry Sound District	0	46
2020-03-25	Northwestern	0	46
2020-03-25	Ottawa	3	46
2020-03-25	Peel	3	46
2020-03-25	Peterborough	0	46
2020-03-25	Porcupine	0	46
2020-03-25	Region of Waterloo	2	46
2020-03-25	Renfrew County and District	0	46
2020-03-25	Simcoe Muskoka District	0	46
2020-03-25	Southwestern	0	46
2020-03-25	Sudbury & District	1	46
2020-03-25	Thunder Bay District	0	46
2020-03-25	Timiskaming	0	46
2020-03-25	Toronto	17	46
2020-03-25	Wellington-Dufferin-Guelph	1	46
2020-03-25	Windsor-Essex County	1	46
2020-03-25	York Region	5	46
2020-03-26	Algoma	0	69
2020-03-26	Brant County	0	69
2020-03-26	Chatham-Kent	0	69
2020-03-26	Durham Region	1	69
2020-03-26	Eastern Ontario	0	69
2020-03-26	Grey Bruce	0	69
2020-03-26	Haldimand-Norfolk	0	69
2020-03-26	Haliburton, Kawartha, Pine Ridge District	1	69
2020-03-26	Halton Region	4	69
2020-03-26	Hamilton	4	69
2020-03-26	Hastings and Prince Edward Counties	2	69
2020-03-26	Huron Perth District	0	69
2020-03-26	Kingston, Frontenac and Lennox & Addington	5	69
2020-03-26	Lambton	0	69
2020-03-26	Leeds, Grenville and Lanark District	0	69
2020-03-26	Middlesex-London	2	69
2020-03-26	Niagara Region	1	69
2020-03-26	North Bay Parry Sound District	0	69
2020-03-26	Northwestern	0	69
2020-03-26	Ottawa	0	69
2020-03-26	Peel	13	69
2020-03-26	Peterborough	2	69
2020-03-26	Porcupine	3	69
2020-03-26	Region of Waterloo	0	69
2020-03-26	Renfrew County and District	0	69
2020-03-26	Simcoe Muskoka District	1	69
2020-03-26	Southwestern	0	69
2020-03-26	Sudbury & District	0	69
2020-03-26	Thunder Bay District	0	69
2020-03-26	Timiskaming	1	69
2020-03-26	Toronto	21	69
2020-03-26	Wellington-Dufferin-Guelph	1	69
2020-03-26	Windsor-Essex County	2	69
2020-03-26	York Region	5	69
2020-03-27	Algoma	0	124
2020-03-27	Brant County	0	124
2020-03-27	Chatham-Kent	0	124
2020-03-27	Durham Region	5	124
2020-03-27	Eastern Ontario	0	124
2020-03-27	Grey Bruce	1	124
2020-03-27	Haldimand-Norfolk	0	124
2020-03-27	Haliburton, Kawartha, Pine Ridge District	14	124
2020-03-27	Halton Region	1	124
2020-03-27	Hamilton	1	124
2020-03-27	Hastings and Prince Edward Counties	0	124
2020-03-27	Huron Perth District	0	124
2020-03-27	Kingston, Frontenac and Lennox & Addington	0	124
2020-03-27	Lambton	5	124
2020-03-27	Leeds, Grenville and Lanark District	0	124
2020-03-27	Middlesex-London	4	124
2020-03-27	Niagara Region	2	124
2020-03-27	North Bay Parry Sound District	1	124
2020-03-27	Northwestern	1	124
2020-03-27	Ottawa	5	124
2020-03-27	Peel	15	124
2020-03-27	Peterborough	3	124
2020-03-27	Porcupine	0	124
2020-03-27	Region of Waterloo	3	124
2020-03-27	Renfrew County and District	0	124
2020-03-27	Simcoe Muskoka District	4	124
2020-03-27	Southwestern	2	124
2020-03-27	Sudbury & District	1	124
2020-03-27	Thunder Bay District	0	124
2020-03-27	Timiskaming	0	124
2020-03-27	Toronto	22	124
2020-03-27	Wellington-Dufferin-Guelph	0	124
2020-03-27	Windsor-Essex County	0	124
2020-03-27	York Region	34	124
2020-03-28	Algoma	0	0
2020-03-28	Brant County	0	0
2020-03-28	Chatham-Kent	0	0
2020-03-28	Durham Region	0	0
2020-03-28	Eastern Ontario	0	0
2020-03-28	Grey Bruce	0	0
2020-03-28	Haldimand-Norfolk	0	0
2020-03-28	Haliburton, Kawartha, Pine Ridge District	0	0
2020-03-28	Halton Region	0	0
2020-03-28	Hamilton	0	0
2020-03-28	Hastings and Prince Edward Counties	0	0
2020-03-28	Huron Perth District	0	0
2020-03-28	Kingston, Frontenac and Lennox & Addington	0	0
2020-03-28	Lambton	0	0
2020-03-28	Leeds, Grenville and Lanark District	0	0
2020-03-28	Middlesex-London	0	0
2020-03-28	Niagara Region	0	0
2020-03-28	North Bay Parry Sound District	0	0
2020-03-28	Northwestern	0	0
2020-03-28	Ottawa	0	0
2020-03-28	Peel	0	0
2020-03-28	Peterborough	0	0
2020-03-28	Porcupine	0	0
2020-03-28	Region of Waterloo	0	0
2020-03-28	Renfrew County and District	0	0
2020-03-28	Simcoe Muskoka District	0	0
2020-03-28	Southwestern	0	0
2020-03-28	Sudbury & District	0	0
2020-03-28	Thunder Bay District	0	0
2020-03-28	Timiskaming	0	0
2020-03-28	Toronto	0	0
2020-03-28	Wellington-Dufferin-Guelph	0	0
2020-03-28	Windsor-Essex County	0	0
2020-03-28	York Region	0	0
2020-03-29	Algoma	0	0
2020-03-29	Brant County	0	0
2020-03-29	Chatham-Kent	0	0
2020-03-29	Durham Region	0	0
2020-03-29	Eastern Ontario	0	0
2020-03-29	Grey Bruce	0	0
2020-03-29	Haldimand-Norfolk	0	0
2020-03-29	Haliburton, Kawartha, Pine Ridge District	0	0
2020-03-29	Halton Region	0	0
2020-03-29	Hamilton	0	0
2020-03-29	Hastings and Prince Edward Counties	0	0
2020-03-29	Huron Perth District	0	0
2020-03-29	Kingston, Frontenac and Lennox & Addington	0	0
2020-03-29	Lambton	0	0
2020-03-29	Leeds, Grenville and Lanark District	0	0
2020-03-29	Middlesex-London	0	0
2020-03-29	Niagara Region	0	0
2020-03-29	North Bay Parry Sound District	0	0
2020-03-29	Northwestern	0	0
2020-03-29	Ottawa	0	0
2020-03-29	Peel	0	0
2020-03-29	Peterborough	0	0
2020-03-29	Porcupine	0	0
2020-03-29	Region of Waterloo	0	0
2020-03-29	Renfrew County and District	0	0
2020-03-29	Simcoe Muskoka District	0	0
2020-03-29	Southwestern	0	0
2020-03-29	Sudbury & District	0	0
2020-03-29	Thunder Bay District	0	0
2020-03-29	Timiskaming	0	0
2020-03-29	Toronto	0	0
2020-03-29	Wellington-Dufferin-Guelph	0	0
2020-03-29	Windsor-Essex County	0	0
2020-03-29	York Region	0	0
2020-03-30	Algoma	3	807
2020-03-30	Brant County	9	807
2020-03-30	Chatham-Kent	3	807
2020-03-30	Durham Region	56	807
2020-03-30	Eastern Ontario	5	807
2020-03-30	Grey Bruce	5	807
2020-03-30	Haldimand-Norfolk	3	807
2020-03-30	Haliburton, Kawartha, Pine Ridge District	12	807
2020-03-30	Halton Region	8	807
2020-03-30	Hamilton	38	807
2020-03-30	Hastings and Prince Edward Counties	3	807
2020-03-30	Huron Perth District	5	807
2020-03-30	Kingston, Frontenac and Lennox & Addington	12	807
2020-03-30	Lambton	13	807
2020-03-30	Leeds, Grenville and Lanark District	8	807
2020-03-30	Middlesex-London	20	807
2020-03-30	Niagara Region	22	807
2020-03-30	North Bay Parry Sound District	3	807
2020-03-30	Northwestern	1	807
2020-03-30	Ottawa	52	807
2020-03-30	Peel	95	807
2020-03-30	Peterborough	18	807
2020-03-30	Porcupine	6	807
2020-03-30	Region of Waterloo	60	807
2020-03-30	Renfrew County and District	1	807
2020-03-30	Simcoe Muskoka District	25	807
2020-03-30	Southwestern	3	807
2020-03-30	Sudbury & District	1	807
2020-03-30	Thunder Bay District	2	807
2020-03-30	Timiskaming	0	807
2020-03-30	Toronto	197	807
2020-03-30	Wellington-Dufferin-Guelph	4	807
2020-03-30	Windsor-Essex County	20	807
2020-03-30	York Region	94	807
2020-03-31	Algoma	0	220
2020-03-31	Brant County	3	220
2020-03-31	Chatham-Kent	0	220
2020-03-31	Durham Region	21	220
2020-03-31	Eastern Ontario	1	220
2020-03-31	Grey Bruce	1	220
2020-03-31	Haldimand-Norfolk	4	220
2020-03-31	Haliburton, Kawartha, Pine Ridge District	10	220
2020-03-31	Halton Region	7	220
2020-03-31	Hamilton	17	220
2020-03-31	Hastings and Prince Edward Counties	0	220
2020-03-31	Huron Perth District	1	220
2020-03-31	Kingston, Frontenac and Lennox & Addington	8	220
2020-03-31	Lambton	9	220
2020-03-31	Leeds, Grenville and Lanark District	8	220
2020-03-31	Middlesex-London	8	220
2020-03-31	Niagara Region	10	220
2020-03-31	North Bay Parry Sound District	0	220
2020-03-31	Northwestern	0	220
2020-03-31	Ottawa	9	220
2020-03-31	Peel	42	220
2020-03-31	Peterborough	2	220
2020-03-31	Porcupine	0	220
2020-03-31	Region of Waterloo	5	220
2020-03-31	Renfrew County and District	1	220
2020-03-31	Simcoe Muskoka District	9	220
2020-03-31	Southwestern	2	220
2020-03-31	Sudbury & District	2	220
2020-03-31	Thunder Bay District	1	220
2020-03-31	Timiskaming	1	220
2020-03-31	Toronto	4	220
2020-03-31	Wellington-Dufferin-Guelph	18	220
2020-03-31	Windsor-Essex County	0	220
2020-03-31	York Region	16	220
2020-04-01	Algoma	1	313
2020-04-01	Brant County	1	313
2020-04-01	Chatham-Kent	2	313
2020-04-01	Durham Region	24	313
2020-04-01	Eastern Ontario	8	313
2020-04-01	Grey Bruce	1	313
2020-04-01	Haldimand-Norfolk	15	313
2020-04-01	Haliburton, Kawartha, Pine Ridge District	8	313
2020-04-01	Halton Region	27	313
2020-04-01	Hamilton	7	313
2020-04-01	Hastings and Prince Edward Counties	1	313
2020-04-01	Huron Perth District	3	313
2020-04-01	Kingston, Frontenac and Lennox & Addington	11	313
2020-04-01	Lambton	10	313
2020-04-01	Leeds, Grenville and Lanark District	8	313
2020-04-01	Middlesex-London	8	313
2020-04-01	Niagara Region	8	313
2020-04-01	North Bay Parry Sound District	0	313
2020-04-01	Northwestern	0	313
2020-04-01	Ottawa	37	313
2020-04-01	Peel	21	313
2020-04-01	Peterborough	1	313
2020-04-01	Porcupine	5	313
2020-04-01	Region of Waterloo	13	313
2020-04-01	Renfrew County and District	2	313
2020-04-01	Simcoe Muskoka District	5	313
2020-04-01	Southwestern	2	313
2020-04-01	Sudbury & District	2	313
2020-04-01	Thunder Bay District	1	313
2020-04-01	Timiskaming	0	313
2020-04-01	Toronto	32	313
2020-04-01	Wellington-Dufferin-Guelph	14	313
2020-04-01	Windsor-Essex County	10	313
2020-04-01	York Region	25	313
2020-04-02	Algoma	0	878
2020-04-02	Brant County	5	878
2020-04-02	Chatham-Kent	2	878
2020-04-02	Durham Region	25	878
2020-04-02	Eastern Ontario	6	878
2020-04-02	Grey Bruce	1	878
2020-04-02	Haldimand-Norfolk	10	878
2020-04-02	Haliburton, Kawartha, Pine Ridge District	9	878
2020-04-02	Halton Region	18	878
2020-04-02	Hamilton	20	878
2020-04-02	Hastings and Prince Edward Counties	4	878
2020-04-02	Huron Perth District	3	878
2020-04-02	Kingston, Frontenac and Lennox & Addington	4	878
2020-04-02	Lambton	17	878
2020-04-02	Leeds, Grenville and Lanark District	7	878
2020-04-02	Middlesex-London	22	878
2020-04-02	Niagara Region	18	878
2020-04-02	North Bay Parry Sound District	0	878
2020-04-02	Northwestern	1	878
2020-04-02	Ottawa	118	878
2020-04-02	Peel	114	878
2020-04-02	Peterborough	9	878
2020-04-02	Porcupine	3	878
2020-04-02	Region of Waterloo	13	878
2020-04-02	Renfrew County and District	3	878
2020-04-02	Simcoe Muskoka District	8	878
2020-04-02	Southwestern	1	878
2020-04-02	Sudbury & District	3	878
2020-04-02	Thunder Bay District	0	878
2020-04-02	Timiskaming	0	878
2020-04-02	Toronto	282	878
2020-04-02	Wellington-Dufferin-Guelph	6	878
2020-04-02	Windsor-Essex County	37	878
2020-04-02	York Region	109	878
2020-04-03	Algoma	1	462
2020-04-03	Brant County	15	462
2020-04-03	Chatham-Kent	0	462
2020-04-03	Durham Region	21	462
2020-04-03	Eastern Ontario	3	462
2020-04-03	Grey Bruce	2	462
2020-04-03	Haldimand-Norfolk	13	462
2020-04-03	Haliburton, Kawartha, Pine Ridge District	3	462
2020-04-03	Halton Region	9	462
2020-04-03	Hamilton	10	462
2020-04-03	Hastings and Prince Edward Counties	3	462
2020-04-03	Huron Perth District	3	462
2020-04-03	Kingston, Frontenac and Lennox & Addington	1	462
2020-04-03	Lambton	6	462
2020-04-03	Leeds, Grenville and Lanark District	7	462
2020-04-03	Middlesex-London	16	462
2020-04-03	Niagara Region	19	462
2020-04-03	North Bay Parry Sound District	0	462
2020-04-03	Northwestern	0	462
2020-04-03	Ottawa	33	462
2020-04-03	Peel	61	462
2020-04-03	Peterborough	3	462
2020-04-03	Porcupine	6	462
2020-04-03	Region of Waterloo	13	462
2020-04-03	Renfrew County and District	0	462
2020-04-03	Simcoe Muskoka District	8	462
2020-04-03	Southwestern	5	462
2020-04-03	Sudbury & District	9	462
2020-04-03	Thunder Bay District	4	462
2020-04-03	Timiskaming	1	462
2020-04-03	Toronto	100	462
2020-04-03	Wellington-Dufferin-Guelph	11	462
2020-04-03	Windsor-Essex County	30	462
2020-04-03	York Region	46	462
2020-04-04	Algoma	1	375
2020-04-04	Brant County	11	375
2020-04-04	Chatham-Kent	1	375
2020-04-04	Durham Region	18	375
2020-04-04	Eastern Ontario	7	375
2020-04-04	Grey Bruce	0	375
2020-04-04	Haldimand-Norfolk	9	375
2020-04-04	Haliburton, Kawartha, Pine Ridge District	3	375
2020-04-04	Halton Region	26	375
2020-04-04	Hamilton	13	375
2020-04-04	Hastings and Prince Edward Counties	1	375
2020-04-04	Huron Perth District	0	375
2020-04-04	Kingston, Frontenac and Lennox & Addington	0	375
2020-04-04	Lambton	3	375
2020-04-04	Leeds, Grenville and Lanark District	9	375
2020-04-04	Middlesex-London	20	375
2020-04-04	Niagara Region	25	375
2020-04-04	North Bay Parry Sound District	0	375
2020-04-04	Northwestern	0	375
2020-04-04	Ottawa	28	375
2020-04-04	Peel	41	375
2020-04-04	Peterborough	1	375
2020-04-04	Porcupine	4	375
2020-04-04	Region of Waterloo	15	375
2020-04-04	Renfrew County and District	0	375
2020-04-04	Simcoe Muskoka District	2	375
2020-04-04	Southwestern	1	375
2020-04-04	Sudbury & District	3	375
2020-04-04	Thunder Bay District	3	375
2020-04-04	Timiskaming	0	375
2020-04-04	Toronto	62	375
2020-04-04	Wellington-Dufferin-Guelph	13	375
2020-04-04	Windsor-Essex County	19	375
2020-04-04	York Region	36	375
2020-04-05	Algoma	1	408
2020-04-05	Brant County	5	408
2020-04-05	Chatham-Kent	2	408
2020-04-05	Durham Region	29	408
2020-04-05	Eastern Ontario	3	408
2020-04-05	Grey Bruce	4	408
2020-04-05	Haldimand-Norfolk	11	408
2020-04-05	Haliburton, Kawartha, Pine Ridge District	27	408
2020-04-05	Halton Region	24	408
2020-04-05	Hamilton	11	408
2020-04-05	Hastings and Prince Edward Counties	3	408
2020-04-05	Huron Perth District	1	408
2020-04-05	Kingston, Frontenac and Lennox & Addington	4	408
2020-04-05	Lambton	12	408
2020-04-05	Leeds, Grenville and Lanark District	6	408
2020-04-05	Middlesex-London	8	408
2020-04-05	Niagara Region	21	408
2020-04-05	North Bay Parry Sound District	0	408
2020-04-05	Northwestern	0	408
2020-04-05	Ottawa	24	408
2020-04-05	Peel	36	408
2020-04-05	Peterborough	0	408
2020-04-05	Porcupine	1	408
2020-04-05	Region of Waterloo	8	408
2020-04-05	Renfrew County and District	0	408
2020-04-05	Simcoe Muskoka District	8	408
2020-04-05	Southwestern	2	408
2020-04-05	Sudbury & District	1	408
2020-04-05	Thunder Bay District	2	408
2020-04-05	Timiskaming	0	408
2020-04-05	Toronto	96	408
2020-04-05	Wellington-Dufferin-Guelph	14	408
2020-04-05	Windsor-Essex County	22	408
2020-04-05	York Region	22	408
2020-04-06	Algoma	0	309
2020-04-06	Brant County	0	309
2020-04-06	Chatham-Kent	0	309
2020-04-06	Durham Region	12	309
2020-04-06	Eastern Ontario	6	309
2020-04-06	Grey Bruce	0	309
2020-04-06	Haldimand-Norfolk	0	309
2020-04-06	Haliburton, Kawartha, Pine Ridge District	1	309
2020-04-06	Halton Region	9	309
2020-04-06	Hamilton	15	309
2020-04-06	Hastings and Prince Edward Counties	1	309
2020-04-06	Huron Perth District	0	309
2020-04-06	Kingston, Frontenac and Lennox & Addington	0	309
2020-04-06	Lambton	2	309
2020-04-06	Leeds, Grenville and Lanark District	4	309
2020-04-06	Middlesex-London	12	309
2020-04-06	Niagara Region	5	309
2020-04-06	North Bay Parry Sound District	0	309
2020-04-06	Northwestern	0	309
2020-04-06	Ottawa	29	309
2020-04-06	Peel	50	309
2020-04-06	Peterborough	1	309
2020-04-06	Porcupine	0	309
2020-04-06	Region of Waterloo	6	309
2020-04-06	Renfrew County and District	0	309
2020-04-06	Simcoe Muskoka District	6	309
2020-04-06	Southwestern	0	309
2020-04-06	Sudbury & District	0	309
2020-04-06	Thunder Bay District	0	309
2020-04-06	Timiskaming	0	309
2020-04-06	Toronto	98	309
2020-04-06	Wellington-Dufferin-Guelph	7	309
2020-04-06	Windsor-Essex County	16	309
2020-04-06	York Region	29	309
2020-04-07	Algoma	0	379
2020-04-07	Brant County	-1	379
2020-04-07	Chatham-Kent	4	379
2020-04-07	Durham Region	20	379
2020-04-07	Eastern Ontario	1	379
2020-04-07	Grey Bruce	6	379
2020-04-07	Haldimand-Norfolk	14	379
2020-04-07	Haliburton, Kawartha, Pine Ridge District	2	379
2020-04-07	Halton Region	14	379
2020-04-07	Hamilton	10	379
2020-04-07	Hastings and Prince Edward Counties	0	379
2020-04-07	Huron Perth District	5	379
2020-04-07	Kingston, Frontenac and Lennox & Addington	0	379
2020-04-07	Lambton	6	379
2020-04-07	Leeds, Grenville and Lanark District	16	379
2020-04-07	Middlesex-London	11	379
2020-04-07	Niagara Region	18	379
2020-04-07	North Bay Parry Sound District	1	379
2020-04-07	Northwestern	2	379
2020-04-07	Ottawa	23	379
2020-04-07	Peel	85	379
2020-04-07	Peterborough	0	379
2020-04-07	Porcupine	1	379
2020-04-07	Region of Waterloo	16	379
2020-04-07	Renfrew County and District	2	379
2020-04-07	Simcoe Muskoka District	10	379
2020-04-07	Southwestern	2	379
2020-04-07	Sudbury & District	0	379
2020-04-07	Thunder Bay District	4	379
2020-04-07	Timiskaming	2	379
2020-04-07	Toronto	64	379
2020-04-07	Wellington-Dufferin-Guelph	8	379
2020-04-07	Windsor-Essex County	23	379
2020-04-07	York Region	10	379
2020-04-08	Algoma	1	550
2020-04-08	Brant County	2	550
2020-04-08	Chatham-Kent	1	550
2020-04-08	Durham Region	14	550
2020-04-08	Eastern Ontario	2	550
2020-04-08	Grey Bruce	2	550
2020-04-08	Haldimand-Norfolk	13	550
2020-04-08	Haliburton, Kawartha, Pine Ridge District	1	550
2020-04-08	Halton Region	61	550
2020-04-08	Hamilton	7	550
2020-04-08	Hastings and Prince Edward Counties	3	550
2020-04-08	Huron Perth District	0	550
2020-04-08	Kingston, Frontenac and Lennox & Addington	1	550
2020-04-08	Lambton	0	550
2020-04-08	Leeds, Grenville and Lanark District	44	550
2020-04-08	Middlesex-London	7	550
2020-04-08	Niagara Region	23	550
2020-04-08	North Bay Parry Sound District	0	550
2020-04-08	Northwestern	0	550
2020-04-08	Ottawa	23	550
2020-04-08	Peel	63	550
2020-04-08	Peterborough	0	550
2020-04-08	Porcupine	1	550
2020-04-08	Region of Waterloo	8	550
2020-04-08	Renfrew County and District	1	550
2020-04-08	Simcoe Muskoka District	11	550
2020-04-08	Southwestern	3	550
2020-04-08	Sudbury & District	0	550
2020-04-08	Thunder Bay District	0	550
2020-04-08	Timiskaming	0	550
2020-04-08	Toronto	173	550
2020-04-08	Wellington-Dufferin-Guelph	14	550
2020-04-08	Windsor-Essex County	20	550
2020-04-08	York Region	51	550
2020-04-09	Algoma	0	483
2020-04-09	Brant County	5	483
2020-04-09	Chatham-Kent	0	483
2020-04-09	Durham Region	15	483
2020-04-09	Eastern Ontario	4	483
2020-04-09	Grey Bruce	1	483
2020-04-09	Haldimand-Norfolk	6	483
2020-04-09	Haliburton, Kawartha, Pine Ridge District	9	483
2020-04-09	Halton Region	19	483
2020-04-09	Hamilton	12	483
2020-04-09	Hastings and Prince Edward Counties	0	483
2020-04-09	Huron Perth District	3	483
2020-04-09	Kingston, Frontenac and Lennox & Addington	-1	483
2020-04-09	Lambton	10	483
2020-04-09	Leeds, Grenville and Lanark District	15	483
2020-04-09	Middlesex-London	14	483
2020-04-09	Niagara Region	6	483
2020-04-09	North Bay Parry Sound District	1	483
2020-04-09	Northwestern	0	483
2020-04-09	Ottawa	28	483
2020-04-09	Peel	77	483
2020-04-09	Peterborough	8	483
2020-04-09	Porcupine	2	483
2020-04-09	Region of Waterloo	9	483
2020-04-09	Renfrew County and District	0	483
2020-04-09	Simcoe Muskoka District	3	483
2020-04-09	Southwestern	3	483
2020-04-09	Sudbury & District	0	483
2020-04-09	Thunder Bay District	1	483
2020-04-09	Timiskaming	2	483
2020-04-09	Toronto	156	483
2020-04-09	Wellington-Dufferin-Guelph	12	483
2020-04-09	Windsor-Essex County	23	483
2020-04-09	York Region	40	483
2020-04-10	Algoma	0	478
2020-04-10	Brant County	4	478
2020-04-10	Chatham-Kent	1	478
2020-04-10	Durham Region	23	478
2020-04-10	Eastern Ontario	2	478
2020-04-10	Grey Bruce	3	478
2020-04-10	Haldimand-Norfolk	8	478
2020-04-10	Haliburton, Kawartha, Pine Ridge District	0	478
2020-04-10	Halton Region	17	478
2020-04-10	Hamilton	10	478
2020-04-10	Hastings and Prince Edward Counties	0	478
2020-04-10	Huron Perth District	4	478
2020-04-10	Kingston, Frontenac and Lennox & Addington	0	478
2020-04-10	Lambton	7	478
2020-04-10	Leeds, Grenville and Lanark District	14	478
2020-04-10	Middlesex-London	8	478
2020-04-10	Niagara Region	15	478
2020-04-10	North Bay Parry Sound District	0	478
2020-04-10	Northwestern	3	478
2020-04-10	Ottawa	36	478
2020-04-10	Peel	57	478
2020-04-10	Peterborough	0	478
2020-04-10	Porcupine	5	478
2020-04-10	Region of Waterloo	8	478
2020-04-10	Renfrew County and District	2	478
2020-04-10	Simcoe Muskoka District	11	478
2020-04-10	Southwestern	2	478
2020-04-10	Sudbury & District	2	478
2020-04-10	Thunder Bay District	4	478
2020-04-10	Timiskaming	0	478
2020-04-10	Toronto	149	478
2020-04-10	Wellington-Dufferin-Guelph	6	478
2020-04-10	Windsor-Essex County	28	478
2020-04-10	York Region	49	478
2020-04-11	Algoma	1	411
2020-04-11	Brant County	3	411
2020-04-11	Chatham-Kent	0	411
2020-04-11	Durham Region	15	411
2020-04-11	Eastern Ontario	3	411
2020-04-11	Grey Bruce	1	411
2020-04-11	Haldimand-Norfolk	3	411
2020-04-11	Haliburton, Kawartha, Pine Ridge District	11	411
2020-04-11	Halton Region	8	411
2020-04-11	Hamilton	11	411
2020-04-11	Hastings and Prince Edward Counties	1	411
2020-04-11	Huron Perth District	0	411
2020-04-11	Kingston, Frontenac and Lennox & Addington	0	411
2020-04-11	Lambton	3	411
2020-04-11	Leeds, Grenville and Lanark District	11	411
2020-04-11	Middlesex-London	15	411
2020-04-11	Niagara Region	9	411
2020-04-11	North Bay Parry Sound District	1	411
2020-04-11	Northwestern	0	411
2020-04-11	Ottawa	30	411
2020-04-11	Peel	64	411
2020-04-11	Peterborough	1	411
2020-04-11	Porcupine	0	411
2020-04-11	Region of Waterloo	6	411
2020-04-11	Renfrew County and District	0	411
2020-04-11	Simcoe Muskoka District	17	411
2020-04-11	Southwestern	0	411
2020-04-11	Sudbury & District	1	411
2020-04-11	Thunder Bay District	2	411
2020-04-11	Timiskaming	0	411
2020-04-11	Toronto	123	411
2020-04-11	Wellington-Dufferin-Guelph	1	411
2020-04-11	Windsor-Essex County	20	411
2020-04-11	York Region	50	411
2020-04-12	Algoma	0	401
2020-04-12	Brant County	2	401
2020-04-12	Chatham-Kent	1	401
2020-04-12	Durham Region	10	401
2020-04-12	Eastern Ontario	2	401
2020-04-12	Grey Bruce	2	401
2020-04-12	Haldimand-Norfolk	12	401
2020-04-12	Haliburton, Kawartha, Pine Ridge District	7	401
2020-04-12	Halton Region	9	401
2020-04-12	Hamilton	14	401
2020-04-12	Hastings and Prince Edward Counties	1	401
2020-04-12	Huron Perth District	1	401
2020-04-12	Kingston, Frontenac and Lennox & Addington	1	401
2020-04-12	Lambton	7	401
2020-04-12	Leeds, Grenville and Lanark District	27	401
2020-04-12	Middlesex-London	14	401
2020-04-12	Niagara Region	17	401
2020-04-12	North Bay Parry Sound District	1	401
2020-04-12	Northwestern	0	401
2020-04-12	Ottawa	34	401
2020-04-12	Peel	62	401
2020-04-12	Peterborough	0	401
2020-04-12	Porcupine	2	401
2020-04-12	Region of Waterloo	7	401
2020-04-12	Renfrew County and District	2	401
2020-04-12	Simcoe Muskoka District	1	401
2020-04-12	Southwestern	4	401
2020-04-12	Sudbury & District	1	401
2020-04-12	Thunder Bay District	0	401
2020-04-12	Timiskaming	0	401
2020-04-12	Toronto	126	401
2020-04-12	Wellington-Dufferin-Guelph	0	401
2020-04-12	Windsor-Essex County	14	401
2020-04-12	York Region	20	401
2020-04-13	Algoma	0	421
2020-04-13	Brant County	2	421
2020-04-13	Chatham-Kent	6	421
2020-04-13	Durham Region	18	421
2020-04-13	Eastern Ontario	1	421
2020-04-13	Grey Bruce	2	421
2020-04-13	Haldimand-Norfolk	7	421
2020-04-13	Haliburton, Kawartha, Pine Ridge District	1	421
2020-04-13	Halton Region	16	421
2020-04-13	Hamilton	11	421
2020-04-13	Hastings and Prince Edward Counties	0	421
2020-04-13	Huron Perth District	1	421
2020-04-13	Kingston, Frontenac and Lennox & Addington	0	421
2020-04-13	Lambton	5	421
2020-04-13	Leeds, Grenville and Lanark District	17	421
2020-04-13	Middlesex-London	24	421
2020-04-13	Niagara Region	14	421
2020-04-13	North Bay Parry Sound District	1	421
2020-04-13	Northwestern	0	421
2020-04-13	Ottawa	25	421
2020-04-13	Peel	52	421
2020-04-13	Peterborough	1	421
2020-04-13	Porcupine	-1	421
